,keywords,2,3,4,5,6,7,8,9,10,11,12,13,14,Dim_1,Dim_2
0,user innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1839122195113346,-0.9680993175170702
1,lead user,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0129644851513789,-0.0024575003081526
2,open innovation,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0014561715069308,-0.0136343469677317
3,co-creation,1,1,2,2,2,2,2,2,2,2,2,2,2,0.253741669542445,0.1782925769639625
4,crowdsourcing,1,1,1,1,1,1,1,1,1,1,3,3,3,0.1814770042224756,-0.1119970903805503
5,innovation,1,1,1,1,3,3,3,3,3,3,4,4,4,-0.2042109453684607,-0.0214757195864607
6,user entrepreneurship,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0046230994229594,0.0658432562772804
7,social medium,1,1,1,1,1,1,4,4,4,4,5,5,5,0.0434835650875651,-0.206559026246225
8,online community,1,1,1,1,1,1,1,5,5,5,6,6,6,0.1575956123561145,0.2627086017840735
9,innovation policy,1,1,1,1,3,3,3,3,3,3,4,4,4,-0.212425482239091,0.0773783194023736
10,consumer innovation,1,1,1,1,3,3,3,3,3,3,4,4,4,-0.101498981996997,0.0443524630422896
11,makerspace,1,1,1,1,3,3,3,3,3,3,4,4,4,-0.2709456528098529,0.0328261738157369
12,user involvement,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.0713629066054609,-0.1608349222864413
13,user community,1,1,1,1,1,4,5,6,6,6,7,7,7,0.1740497068031648,0.0042462227404233
14,motivation,1,1,1,1,1,1,1,5,7,7,8,8,8,0.0417858342764022,0.271139431347266
15,diffusion,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0755473017615615,-0.0386458780201355
16,knowledge,1,1,2,2,2,2,2,2,2,2,2,2,2,0.3774252813727266,0.3143524252838715
17,sources of innovation,1,1,2,2,2,2,2,2,2,2,2,2,2,0.4727195765180775,0.3055477986504445
18,articulation,1,2,3,3,4,5,6,7,8,8,9,9,9,-0.3670390910755272,0.4728535634616967
19,domestication,1,2,3,3,4,5,6,7,8,8,9,9,9,-0.4376527766950929,0.4123162437524394
20,script,1,2,3,3,4,5,6,7,8,8,9,9,9,-0.2134462999366036,0.5577111387817657
21,use knowledge,1,2,3,3,4,5,6,7,8,8,9,9,9,-0.2925689840172176,0.5206494536205472
22,new product development,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0424462800184409,0.0165263333236413
23,toolkit,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.028388275783175,-0.1609668585702042
24,healthcare,1,1,1,1,3,3,3,3,3,3,4,4,4,-0.2484390996455483,0.0395391562898018
25,innovation ecosystem,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0476206379383005,0.1260222233490169
26,3d printing,1,1,1,1,1,1,1,5,7,7,8,8,8,0.0707486862119802,0.2076174152754033
27,cooperation,0,0,0,4,5,6,7,8,9,9,10,10,10,-0.1655114729918319,-0.4981049794158055
28,front end,0,0,0,4,5,6,7,8,9,9,10,10,10,0.0042776810970889,-0.5156856977367025
29,user-manufacturer interaction,0,0,0,4,5,6,7,8,9,9,10,10,10,-0.2570501935545708,-0.4614747522082621
30,theory,1,1,2,2,2,2,2,2,2,2,2,2,11,0.5290511691521983,0.2456986080341199
31,entrepreneurship,1,1,1,1,1,4,5,6,6,6,7,7,7,0.3979113883647711,-0.1516282681014148
32,collaboration,1,1,1,1,3,3,3,3,3,3,4,4,4,-0.3777556829484861,-0.0256843252232241
33,embedded lead user,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.0361351564673516,-0.2065316515960362
34,lead user workshop,1,1,1,1,1,1,4,4,4,4,5,11,12,-0.0815628135706498,-0.3485524632083263
35,innovation management,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0270984216757397,0.0364673075740932
36,product development,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0114288506213983,0.0420082004683629
37,netnography,1,1,1,1,1,1,1,5,7,10,11,12,13,0.190119973891236,-0.2369317757844799
38,crowdfunding platform,1,1,1,1,1,4,5,6,6,6,7,7,7,0.4031294341153688,-0.1048323400813873
