blue,gold,orange,green,yellow,maroon,teal,red
brand value,commercial diffusion,community,complementarity,consumer innovation,free revealing,heterogeneous market,intrinsic motivation
innovation community,general value,dominant design,division of innovative labor,diffusion,innovation diffusion,local information,open source software
product diffusion,market failure,industry evolution,externality,household sector innovation,innovation measurement,mass customization,user support
user innovation,peer-to-peer diffusion,real option,social welfare,measurement,innovation transfer,specialization in problem solving,virtual community
user-generated brand,,,user innovation paradigm,need-solution pair,,sticky information,product development
collaborative innovation,,,user-producer interaction,personality,,task partitioning,toolkit
modularity,,,,problem-solving,,,need heterogeneity
open innovation,,,,product solution,,,
efficiency measurement,,,,research and development,,,
industry development,,,,free innovation,,,
service development,,,,,,,
service innovation,,,,,,,
