maroon,teal,gold,olive,green,red,blue,purple,pink,brown,cyan,lime,navy,orange,yellow,indigo,magenta
3d community,diffusion,user innovation,digital remixing,open innovation,adoption,case study,china and the west,chinese high technology industry,clinician,co-creation,construal level theory,crowdfunding,customer-active paradigm,employee user,high-technology,online user innovation community
3d printing,biography of artifact,agent-based social simulation,motivation,creativity,lead user,continuous interaction,comparative case,industry characteristic,healthcare,customization toolkit,mobile data service,crowdsourcing,literature review,ethnography,patent,organizational information processing theory
collaboration,bricolage,community,online community,embedded lead user,new product,fan innovation,knowledge sharing,sources of tpp innovation,innovation policy,handicraft,potential and actual user innovator,entrepreneurship,user toolkits for innovation,hiding practice,semiconductor,text clustering
ideal type,configuration,articulation,absorptive capacity,idea quality,opinion leadership,social presence,open source software project,,makerspace,knowledge,user innovation theory,latent dirichlet allocation,,military,technology management,user idea
user entrepreneurship,innofusion,domestication,organizational adoption,internal lead user,brand community,,,,do-it-yourself,leading edge statu,user service innovation,topic modelling,,polouse,innovation measurement,
crowdfunding platform,innovation,script,sources of innovation,digital health,willingness to share,,,,enabling technology,personalization,,user community,,,sectoral system,
human capital,peer production,use knowledge,user innovation community,digital transformation,combinatory search,,,,product innovation,product development,,user entrepreneur,,,semiconductor industry,
self-determination theory,user practice,behavioral innovation,biase,e-healthcare,implicit referral,,,,social innovation,social networking service,,netnography,,,,
social capital,complementarity,feminist economic,decision-maker,telemedicine,inexact referral,,,,facilitation,theory,,social medium,,,,
end user entrepreneur,innovation ecosystem,household sector innovation,theory practice gap,user-centered design,intermediate referral,,,,organisational support mechanism,distributed innovation,,evolutionary approach,,,,
entrepreneurial consumer,smart home,innovation diffusion,corporate venture capital,elu,network search,,,,public hospital,user generated content (ugc),,spinout,,,,
entrepreneurship proce,system of use,technique innovation,new product development,employee participation,pyramiding,,,,,interaction,,strategy and firm performance,,,,
ownership,computer game,community innovation,technology entrepreneurship,sustainability innovation,rare research subject,,,,,network,,knowledge-based view,,,,
platform,consumer innovator,consumer innovation,customer integration,sustainable development,cooperation,,,,,,,patents and intellectual property right,,,,
second life,marketplace,daily practice,learning strategy,end-user,front end,,,,,,,technology and innovation management,,,,
virtual world,pricing,innovation behavior,flow,policy,user-manufacturer interaction,,,,,,,reasoned action,,,,
,service ecosystem,russium,web 2.0,policymaker,customer,,,,,,,user innovator,,,,
,sustainability,consumer behavimy,innovation rarene,sustainable innovation,efficiency,,,,,,,,,,,
,,marketing research,user innovation evaluation,improvisation,external knowledge,,,,,,,,,,,
,,user characteristic,role of user,knowledge acquisition,identification,,,,,,,,,,,
,,creative consumer,,knowledge utilization,screening,,,,,,,,,,,
,,living lab,,user generated content,search,,,,,,,,,,,
,,radical innovation,,,innovation performance,,,,,,,,,,,
,,role theory,,,interaction method,,,,,,,,,,,
,,customercentered innovation,,,user involvement,,,,,,,,,,,
,,lead-user research,,,innovation diffusion proce,,,,,,,,,,,
,,developing country,,,source of innovation,,,,,,,,,,,
,,mobile banking service,,,innovation in consumer market,,,,,,,,,,,
,,technology diffusion,,,innovation proce,,,,,,,,,,,
,,financial software innovation,,,knowledge structure,,,,,,,,,,,
,,impulse response function (irf) analysi,,,online user innovation,,,,,,,,,,,
,,knowledge sourcing,,,supernetwork,,,,,,,,,,,
,,vector autoregressive (var) model,,,lead user method,,,,,,,,,,,
,,firm-user collaboration,,,lead user workshop,,,,,,,,,,,
,,innovation management,,,online brand community,,,,,,,,,,,
,,innovation strategy,,,open innovation accelerator,,,,,,,,,,,
,,review,,,,,,,,,,,,,,
,,front loading,,,,,,,,,,,,,,
,,open source,,,,,,,,,,,,,,
,,problem solving,,,,,,,,,,,,,,
,,software development,,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,,
,,sticky information,,,,,,,,,,,,,,
,,life science,,,,,,,,,,,,,,
,,post-adoptive behavior,,,,,,,,,,,,,,
,,research solution,,,,,,,,,,,,,,
,,local information,,,,,,,,,,,,,,
