maroon,teal,gold,orange,green,yellow,red,purple,pink,brown,blue
acquisition mechanism,user innovation,altruism,co-creation,innovation,cocreation,collaboration,crowdfunding platform,customer-active paradigm,evolutionary approach,external knowledge
crowdsourcing,diffusion,chinese large-scale survey,handicraft,corporate venture capital,fashion,commercial diffusion,human capital,literature review,knowledge-based view,innovation performance
idea competition,innovation ecosystem,household sector user innovation,knowledge,new product development,luxury brand,consumer innovation,self-determination theory,user toolkits for innovation,patents and intellectual property right,interaction method
innovation contest,service ecosystem,intrinsic self-reward,product design,technology entrepreneurship,social comparison,innovation policy,social capital,,technology and innovation management,user involvement
innovation tournament,sustainability,partnership,product development,customer integration,,makerspace,user entrepreneurship,,,
intelligence,entrepreneurship,,sources of innovation,learning strategy,,community innovation,,,,
open innovation,equity crowdfunding,,theory,user community,,daily practice,,,,
public relation,randomized field experiment,,user design,,,innovation behavior,,,,
competition,statistical discrimination,,consumer preference,,,russium,,,,
contest,financial software innovation,,corporate association,,,diffusion of innovation,,,,
idea generation,impulse response function (irf) analysi,,open source software,,,online innovation community,,,,
new product,knowledge sourcing,,social identity,,,renewable energy,,,,
lead user,vector autoregressive (var) model,,user-generated product,,,do-it-yourself,,,,
netnography,flow,,r&amp;d efficiency,,,enabling technology,,,,
social medium,motivation,,research quotient,,,product innovation,,,,
open evaluation,online community,,,,,social innovation,,,,
innovation rarenes,web 2.0,,,,,,,,,
user innovation community,innovation measurement,,,,,,,,,
user innovation evaluation,patent,,,,,,,,,
market entry strategy,sectoral system,,,,,,,,,
user-designed product,semiconductor industry,,,,,,,,,
