maroon,teal,gold,orange,green,yellow,red,purple,blue
absorptive capacity,adoption,co-creation,user innovation,collective intelligence,combinatory search,communication,customer-active paradigm,innovation proces
online community,compatibility,customization toolkit,creative consumer,human powered boat,implicit referral,innovation,literature review,key user
open innovation,open source software,leading edge statu,living lab,modularity,inexact referral,toolkit,user toolkits for innovation,modularisation
organizational adoption,toolkits for innovation,personalization,radical innovation,open manufacturing,intermediate referral,web 2.0,,project management
sources of innovation,,social networking service,role theory,open source,lead user,post-adoptive behavior,,software
user innovation community,,,customercentered innovation,product architecture,network search,software engineer,,
customer integration,,,lead-user research,user community,pyramiding,technology artifact,,
learning strategy,,,diffusion,front loading,rare research subject,life science,,
new product development,,,innovation ecosystem,problem solving,crowdsourcing,research solution,,
innovation rarenes,,,service ecosystem,software development,netnography,,,
user innovation evaluation,,,sustainability,,social medium,,,
role of user,,,incorporated user,,innovation diffusion proces,,,
,,,medical technology,,opinion leadership,,,
,,,roles in innovation,,source of innovation,,,
,,,social network analysi,,lead user method,,,
,,,,,lead user workshop,,,
,,,,,open innovation accelerator,,,
,,,,,user involvement,,,
