maroon,teal,coral,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,olive,navy,black,crimson,grey,darkblue,lime,silver,gold
3d printing,digital remixing,user innovation,open innovation,adoption,diffusion,lead user,agent-based social simulation,attention,case study,chinese high technology industry,clinician,knowledge,cognition,construal level theory,creativity,customer-active paradigm,degree centrality,differential game,evolutionary approach,external knowledge,integrated model,re-estimation
ambidexterity,motivation,articulation,community innovation,compatibility,biography of artifact,new product,community,ideation,continuous interaction,industry characteristic,healthcare,corporate entrepreneurship,demand,mobile data service,embedded lead user,literature review,innovation network,firm-sponsored online user innovation community,knowledge-based view,innovation performance,super-network,telephone vs. personal interview
digital fabrication,online community,domestication,consumer innovation,open source software,bricolage,opinion leadership,boundary management,openne,fan innovation,sources of tpp innovation,innovation policy,corporate venture,entrepreneurship,potential and actual user innovator,idea quality,user toolkits for innovation,k-core embeddedne,heterogeneous product user,patents and intellectual property right,interaction method,user innovation knowledge,underestimation
hackathon,absorptive capacity,script,daily practice,toolkits for innovation,configuration,brand community,dilemma,social medium,social presence,,makerspace,fuzzy front end,perspective taking,user innovation theory,internal lead user,,user innovation contribution,incentive reward,technology and innovation management,user involvement,,user innovation frequency
hybridity,organizational adoption,use knowledge,innovation behavior,and phrases: online user innovation community,innofusion,willingness to share,firm-community collaboration,success bium,,,diffusion failure,lead user theory,user,user service innovation,elu,,,product improvement,,video game industry,,
innovation diffusion theory,sources of innovation,behavioral innovation,russium,co-creation,innovation,combinatory search,paradox,suggestion,,,nurse innovation,empirical study,crowdfunding,,employee participation,,,,,strategy,,
institutional logic,user innovation community,feminist economic,diffusion of innovation,crowdsourcing,peer production,implicit referral,systems theory,co-innovation,,,do-it-yourself,financial service,crowdfunding platform,,sustainability innovation,,,,,strategy evolution,,
maker movement,application market,household sector innovation,renewable energy,employee innovativene,user practice,inexact referral,tension,online collaboration platform,,,enabling technology,mass customization,latent dirichlet allocation,,sustainable development,,,,,,,
online innovation community,business model,innovation diffusion,consumer policy,online ideation,collaboration,intermediate referral,,,,,product innovation,,topic modelling,,meta-analysi,,,,,,,
open source community,release strategy,technique innovation,moab model,anticipatory justice,idea competition,network search,,,,,social innovation,,user community,,moderating effect,,,,,,,
remixing,smartphone operating system,complementarity,sustainable innovation,fairness expectation,new product development,pyramiding,,,,,,,user entrepreneur,,,,,,,,,
user-generated content,biase,innovation ecosystem,innovation toolkit,participation in firm innovation,r&amp;d,rare research subject,,,,,,,human capital,,,,,,,,,
,decision-maker,smart home,lag-user,customization toolkit,software development,cooperation,,,,,,,self-determination theory,,,,,,,,,
,theory practice gap,system of use,laggard,leading edge statu,toolkit,front end,,,,,,,social capital,,,,,,,,,
,theory,creative consumer,new product development method,personalization,communication,user-manufacturer interaction,,,,,,,user entrepreneurship,,,,,,,,,
,cognitive overload,living lab,resistance to innovation,product design,customer integration,innovation diffusion proce,,,,,,,digital technology,,,,,,,,,
,message persuasion,radical innovation,simplicity,social networking service,mass customisation,source of innovation,,,,,,,odds-ratio,,,,,,,,,
,user idea,role theory,digital health,user design,personalisation,innovation proce,,,,,,,social venture,,,,,,,,,
,web 2.0,creativity and ideation,digital transformation,consumer preference,user co-design,key user,,,,,,,end user entrepreneur,,,,,,,,,
,netnography,design cognition,e-healthcare,corporate association,corporate venture capital,modularisation,,,,,,,entrepreneurial consumer,,,,,,,,,
,flow,exaptation,telemedicine,social identity,technology entrepreneurship,product architecture,,,,,,,entrepreneurship proce,,,,,,,,,
,innovation rarene,problem-solving,user-centered design,user-generated product,learning strategy,project management,,,,,,,reasoned action,,,,,,,,,
,user innovation evaluation,design autonomy,distributed innovation,,front loading,software,,,,,,,user innovator,,,,,,,,,
,,lead userne,product development,,open source,knowledge structure,,,,,,,second life,,,,,,,,,
,,mobile phone platform,user generated content (ugc),,problem solving,online user innovation,,,,,,,virtual world,,,,,,,,,
,,three-way interaction,end-user,,post-adoptive behavior,supernetwork,,,,,,,,,,,,,,,,
,,toolkit support,policy,,software engineer,lead user method,,,,,,,,,,,,,,,,
,,developing country,policymaker,,technology artifact,lead user workshop,,,,,,,,,,,,,,,,
,,mobile banking service,improvisation,,life science,online brand community,,,,,,,,,,,,,,,,
,,technology diffusion,knowledge acquisition,,research solution,open innovation accelerator,,,,,,,,,,,,,,,,
,,service ecosystem,knowledge utilization,,need heterogeneity,sticky information,,,,,,,,,,,,,,,,
,,sustainability,user generated content,,role of user,,,,,,,,,,,,,,,,,
,,discourse,innovation contest,,,,,,,,,,,,,,,,,,,
,,open source software development,open evaluation,,,,,,,,,,,,,,,,,,,
,,textuality,interaction,,,,,,,,,,,,,,,,,,,
,,employee user,network,,,,,,,,,,,,,,,,,,,
,,ethnography,market entry strategy,,,,,,,,,,,,,,,,,,,
,,hiding practice,user-designed product,,,,,,,,,,,,,,,,,,,
,,military,,,,,,,,,,,,,,,,,,,,
,,polouse,,,,,,,,,,,,,,,,,,,,
,,financial software innovation,,,,,,,,,,,,,,,,,,,,
,,impulse response function (irf) analysi,,,,,,,,,,,,,,,,,,,,
,,knowledge sourcing,,,,,,,,,,,,,,,,,,,,
,,vector autoregressive (var) model,,,,,,,,,,,,,,,,,,,,
,,firm-user collaboration,,,,,,,,,,,,,,,,,,,,
,,innovation management,,,,,,,,,,,,,,,,,,,,
,,innovation strategy,,,,,,,,,,,,,,,,,,,,
,,review,,,,,,,,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,,,,,,,,
,,innovation measurement,,,,,,,,,,,,,,,,,,,,
,,patent,,,,,,,,,,,,,,,,,,,,
,,sectoral system,,,,,,,,,,,,,,,,,,,,
,,semiconductor industry,,,,,,,,,,,,,,,,,,,,
,,innovative work behavior,,,,,,,,,,,,,,,,,,,,
,,job autonomy,,,,,,,,,,,,,,,,,,,,
,,self-efficacy,,,,,,,,,,,,,,,,,,,,
,,work process-related lead userne,,,,,,,,,,,,,,,,,,,,
