orange,teal,gold,green,yellow,purple,blue,maroon,red
3d printing,co-creation,collaboration,diffusion,online innovation community,user innovation,compatibility,user community,diffusion failure
motivation,mass customisation,user-generated content,adoption,open innovation,lead user,business model,entrepreneurship,free revealing
online community,open source software,case study,consumer innovation,co-innovation,innovation,complementarity,community-based innovation,innovation diffusion
platform,crowdsourcing,innovation management,free innovation,social medium,cocreation,open source,consumer innovator,innovation measurement
user entrepreneurship,customer integration,innovation policy,market failure,user-driven innovation,creative consumer,value creation,crowdfunding,innovation transfer
knowledge,idea generation,marketing research,new product,innovation ecosystem,community,social welfare,crowdfunding platform,patent
sources of innovation,new product development,product innovation,opinion leadership,diffusion of innovation,network,distributed innovation,user entrepreneur,
netnography,product development,user involvement,household sector innovation,renewable energy,user,knowledge sharing,evolutionary approach,
web 2.0,user design,commercial diffusion,measurement,online user innovation community,dominant design,innovation community,,
lead user theory,user-generated product,makerspace,personality,sustainability,living lab,innovation proce,,
user innovation community,idea competition,technology management,problem-solving,idea adoption,radical innovation,product architecture,,
second life,software development,do-it-yourself,,literature review,user interaction,modularity,,
virtual world,toolkit,healthcare,,user idea,embedded lead user,,,
,configuration,,,,idea quality,,,
,innovation contest,,,,external knowledge,,,
,strategy,,,,identification,,,
,video game industry,,,,pyramiding,,,
,,,,,grand challenge,,,
,,,,,post-adoptive behavior,,,
,,,,,service,,,
,,,,,service innovation,,,
,,,,,user characteristic,,,
,,,,,lead user workshop,,,
,,,,,sticky information,,,
,,,,,use experience,,,
,,,,,mass customization,,,
,,,,,local information,,,
,,,,,sustainable innovation,,,
,,,,,technology strategy,,,
,,,,,technology diffusion,,,
