maroon,indigo,orange,green,yellow,blue,purple,pink,brown,coral,navy,lime,olive,black,grey,darkblue,darkgreen,red,cyan,magenta,silver,crimson,teal,gold
3d community,user innovation,co-creation,digital remixing,open innovation,lead user,agent-based social simulation,altruism,attention,open source,case study,china and the west,chinese high technology industry,cognition,consumer innovation,idea competition,configurational movement,construal level theory,creative maker,degree centrality,differential game,firm innovation,framing,integrated model
3d printing,adopters’ creative thinking,online community,motivation,innovation,new product,community,chinese large-scale survey,ideation,collaborative innovation,community collaborative action,comparative case,industry characteristic,demand,community innovation,new product development,energy transition,mobile data service,economic incentive,innovation network,firm-sponsored online user innovation community,industrial robot,grand challenge,super-network
collaboration,counter-learning communication,absorptive capacity,adoption,categorisation of open innovation,opinion leadership,boundary management,household sector user innovation,openne,modularity,company,knowledge sharing,sources of tpp innovation,entrepreneurship,daily practice,r&amp;d,generalization proce,potential and actual user innovator,entrepreneurial maker,k-core embeddedne,heterogeneous product user,mediating effect,moral emotion,user innovation knowledge
diffusion,mass market adoption,organizational adoption,compatibility,conceptualisation of open innovation,brand community,dilemma,intrinsic self-reward,social medium,collective intelligence,comparative study,open source software project,,perspective taking,innovation behavior,software development,heat pump,user innovation theory,product popularity,user innovation contribution,incentive reward,sustainability-oriented innovation,responsible innovation,
ideal type,articulation,sources of innovation,toolkits for innovation,future of open innovation,willingness to share,firm-community collaboration,partnership,success bium,human powered boat,continuous interaction,distributed innovation,,user,russium,toolkit,technology diffusion,user service innovation,product productivity,,product improvement,unconventional source of innovation,serendipity,
user entrepreneurship,domestication,user innovation community,application market,living lab,combinatory search,paradox,,suggestion,open manufacturing,fan innovation,performance of oss project,,competitivene,diffusion of innovation,corporate venture capital,developing country,,social incentive,,,,open social innovation,
ambidexterity,script,open source software,business model,living laboratory,implicit referral,systems theory,,business model innovation,product architecture,firm-user virtual alliance,user generated content (ugc),,development,measurement,technology entrepreneurship,mobile banking service,,,,,,,
digital fabrication,use knowledge,and phrases: online user innovation community,release strategy,physically assistive,inexact referral,tension,,dynamic capability,user community,innovation management,,,empirical analysi,online innovation community,customer integration,,,,,,,,
hackathon,behavioral innovation,crowdsourcing,smartphone operating system,service,intermediate referral,network,,supply chain business model,innovation proce,innovation policy,,,free,personality,learning strategy,,,,,,,,
hybridity,feminist economic,employee innovativene,complementarity,service robot,network search,online,,tea supply chain,key user,marketing research,,,integration,product solution,empirical study,,,,,,,,
institutional logic,household sector innovation,online ideation,value capture,social robot,pyramiding,dominant design,,user-driven innovation,modularisation,participatory design,,,open,renewable energy,financial service,,,,,,,,
maker movement,innovation diffusion,customization toolkit,value creation,socially assistive,rare research subject,industry evolution,,co-innovation,project management,product innovation,,,revealing,research and development,mass customization,,,,,,,,
mass customisation,technique innovation,handicraft,communication,challenge,cooperation,real option,,domain-based review,software,social presence,,,sustainable,innovation toolkit,front loading,,,,,,,,
open source community,brand value,leading edge statu,web 2.0,characteristic,front end,opinion dynamic,,meta-systematic review,reasoned action,user centred design,,,equity crowdfunding,lag-user,problem solving,,,,,,,,
platform,innovation community,personalization,division of innovative labor,literature review,user-manufacturer interaction,user interaction,,npd,user innovator,user driven innovation,,,evolutionary approach,laggard,heterogeneous market,,,,,,,,
biography of artifact,product diffusion,product design,externality,sustainability,creativity,user-driven,,online collaboration platform,,user involvement,,,randomized field experiment,new product development method,local information,,,,,,,,
bricolage,user-generated brand,product development,innovation ecosystem,consumer policy,embedded lead user,interaction,,pm,,value co-creation,,,spinout,resistance to innovation,specialization in problem solving,,,,,,,,
configuration,canon,social networking service,smart home,moab model,idea quality,,,user engagement,,clinician,,,statistical discrimination,simplicity,sticky information,,,,,,,,
innofusion,critical management study,user design,social welfare,sustainable innovation,internal lead user,,,,,healthcare,,,strategy and firm performance,direct and indirect effect,task partitioning,,,,,,,,
peer production,critical performativity,cognitive overload,system of use,customer-active paradigm,elu,,,,,makerspace,,,knowledge-based view,education,video game industry,,,,,,,,
user practice,critique,message persuasion,user innovation paradigm,user toolkits for innovation,employee participation,,,,,commercial diffusion,,,patents and intellectual property right,gender,need heterogeneity,,,,,,,,
crowdfunding,subversive functionalism,user idea,user-producer interaction,digital health,sustainability innovation,,,,,general value,,,technology and innovation management,survey datum,role of user,,,,,,,,
crowdfunding platform,knowledge,consumer preference,netnography,digital transformation,sustainable development,,,,,market failure,,,intermediary,small-scale energy technology,strategy,,,,,,,,
latent dirichlet allocation,theory,corporate association,service ecosystem,e-healthcare,meta-analysi,,,,,peer-to-peer diffusion,,,social learning,user-innovation,strategy evolution,,,,,,,,
topic modelling,cocreation,social identity,flow,telemedicine,moderating effect,,,,,disruptive technological change,,,,,,,,,,,,,
user entrepreneur,codestruction,user-generated product,innovating with it,user-centered design,innovation diffusion proce,,,,,do-it-yourself,,,,,,,,,,,,,
human capital,creative consumer,economics of i,innovative behavior,end-user,source of innovation,,,,,enabling technology,,,,,,,,,,,,,
self-determination theory,fashion,it policy and management,innovative it use,policy,knowledge structure,,,,,social innovation,,,,,,,,,,,,,
social capital,luxury brand,productivity of it,slack resource,policymaker,online user innovation,,,,,external knowledge,,,,,,,,,,,,,
digital technology,social comparison,technology strategy,,improvisation,supernetwork,,,,,innovation performance,,,,,,,,,,,,,
odds-ratio,video game,innovation rarene,,knowledge acquisition,lead user method,,,,,interaction method,,,,,,,,,,,,,
social venture,need-solution pair,user innovation evaluation,,knowledge utilization,lead user workshop,,,,,facilitation,,,,,,,,,,,,,
end user entrepreneur,problem-solving,intrinsic motivation,,user generated content,online brand community,,,,,organisational support mechanism,,,,,,,,,,,,,
entrepreneurial consumer,corporate entrepreneurship,user support,,post-adoptive behavior,open innovation accelerator,,,,,public hospital,,,,,,,,,,,,,
entrepreneurship proce,corporate venture,virtual community,,productivity,,,,,,firm-user collaboration,,,,,,,,,,,,,
ownership,fuzzy front end,online user innovation community,,service innovation,,,,,,innovation strategy,,,,,,,,,,,,,
second life,lead user theory,organizational information processing theory,,software engineer,,,,,,review,,,,,,,,,,,,,
virtual world,covid-19 innovation,text clustering,,technology artifact,,,,,,,,,,,,,,,,,,,
,distributed leadership,r&amp;d efficiency,,user orientation,,,,,,,,,,,,,,,,,,,
,distributed leadership as paradox,research quotient,,innovation contest,,,,,,,,,,,,,,,,,,,
,radical innovation,,,open evaluation,,,,,,,,,,,,,,,,,,,
,role theory,,,life science,,,,,,,,,,,,,,,,,,,
,creativity and ideation,,,research solution,,,,,,,,,,,,,,,,,,,
,design cognition,,,market entry strategy,,,,,,,,,,,,,,,,,,,
,exaptation,,,user-designed product,,,,,,,,,,,,,,,,,,,
,customercentered innovation,,,service development,,,,,,,,,,,,,,,,,,,
,lead-user research,,,,,,,,,,,,,,,,,,,,,,
,design autonomy,,,,,,,,,,,,,,,,,,,,,,
,lead userne,,,,,,,,,,,,,,,,,,,,,,
,mobile phone platform,,,,,,,,,,,,,,,,,,,,,,
,three-way interaction,,,,,,,,,,,,,,,,,,,,,,
,toolkit support,,,,,,,,,,,,,,,,,,,,,,
,discourse,,,,,,,,,,,,,,,,,,,,,,
,open source software development,,,,,,,,,,,,,,,,,,,,,,
,textuality,,,,,,,,,,,,,,,,,,,,,,
,efficiency measurement,,,,,,,,,,,,,,,,,,,,,,
,industry development,,,,,,,,,,,,,,,,,,,,,,
,employee user,,,,,,,,,,,,,,,,,,,,,,
,ethnography,,,,,,,,,,,,,,,,,,,,,,
,hiding practice,,,,,,,,,,,,,,,,,,,,,,
,military,,,,,,,,,,,,,,,,,,,,,,
,polouse,,,,,,,,,,,,,,,,,,,,,,
,entry strategy,,,,,,,,,,,,,,,,,,,,,,
,nascent industry,,,,,,,,,,,,,,,,,,,,,,
,pre-entry experience,,,,,,,,,,,,,,,,,,,,,,
,product portfolio,,,,,,,,,,,,,,,,,,,,,,
,financial software innovation,,,,,,,,,,,,,,,,,,,,,,
,impulse response function (irf) analysi,,,,,,,,,,,,,,,,,,,,,,
,knowledge sourcing,,,,,,,,,,,,,,,,,,,,,,
,vector autoregressive (var) model,,,,,,,,,,,,,,,,,,,,,,
,free innovation,,,,,,,,,,,,,,,,,,,,,,
,free revealing,,,,,,,,,,,,,,,,,,,,,,
,innovation measurement,,,,,,,,,,,,,,,,,,,,,,
,innovation transfer,,,,,,,,,,,,,,,,,,,,,,
,high-technology,,,,,,,,,,,,,,,,,,,,,,
,patent,,,,,,,,,,,,,,,,,,,,,,
,semiconductor,,,,,,,,,,,,,,,,,,,,,,
,technology management,,,,,,,,,,,,,,,,,,,,,,
,idea adoption,,,,,,,,,,,,,,,,,,,,,,
,idea response,,,,,,,,,,,,,,,,,,,,,,
,linguistic style,,,,,,,,,,,,,,,,,,,,,,
,open innovation community,,,,,,,,,,,,,,,,,,,,,,
,incorporated user,,,,,,,,,,,,,,,,,,,,,,
,medical technology,,,,,,,,,,,,,,,,,,,,,,
,roles in innovation,,,,,,,,,,,,,,,,,,,,,,
,social network analysi,,,,,,,,,,,,,,,,,,,,,,
,sectoral system,,,,,,,,,,,,,,,,,,,,,,
,semiconductor industry,,,,,,,,,,,,,,,,,,,,,,
,sme,,,,,,,,,,,,,,,,,,,,,,
