maroon,teal,gold,orange,green,yellow,red,purple,pink,brown,indigo,cyan,blue
3d community,user innovation,acquisition mechanism,altruism,behavioral innovation,case study,commercial diffusion,combinatory search,configurational movement,creative maker,creativity,crowdfunding,distributed innovation
3d printing,adopters’ creative thinking,crowdsourcing,chinese large-scale survey,feminist economic,continuous interaction,consumer innovation,implicit referral,energy transition,economic incentive,embedded lead user,crowdfunding platform,product development
collaboration,counter-learning communication,idea competition,household sector user innovation,household sector innovation,fan innovation,innovation policy,inexact referral,generalization proces,entrepreneurial maker,idea quality,entrepreneurship,user generated content (ugc)
diffusion,mass market adoption,innovation contest,intrinsic self-reward,innovation diffusion,social presence,makerspace,intermediate referral,heat pump,product popularity,internal lead user,innovation,open source software
ideal type,articulation,innovation tournament,partnership,technique innovation,,community innovation,lead user,technology diffusion,product productivity,elu,latent dirichlet allocation,r&amp;d efficiency
user entrepreneurship,domestication,intelligence,,,,daily practice,network search,,social incentive,employee participation,topic modelling,research quotient
innovation ecosystem,script,open innovation,,,,innovation behavior,pyramiding,,,sustainability innovation,user community,
service ecosystem,use knowledge,public relation,,,,russium,rare research subject,,,sustainable development,user entrepreneur,
sustainability,co-creation,end-user,,,,diffusion of innovation,cooperation,,,,human capital,
digital technology,knowledge,policy,,,,online innovation community,front end,,,,self-determination theory,
odds-ratio,sources of innovation,policymaker,,,,renewable energy,user-manufacturer interaction,,,,social capital,
social venture,theory,sustainable innovation,,,,do-it-yourself,netnography,,,,equity crowdfunding,
end user entrepreneur,employee user,improvisation,,,,enabling technology,social medium,,,,randomized field experiment,
entrepreneurial consumer,ethnography,knowledge acquisition,,,,product innovation,lead user method,,,,statistical discrimination,
entrepreneurship proces,hiding practice,knowledge utilization,,,,social innovation,lead user workshop,,,,,
lead user theory,military,user generated content,,,,,user involvement,,,,,
sme,polouse,market entry strategy,,,,,,,,,,
,entry strategy,user-designed product,,,,,,,,,,
,nascent industry,,,,,,,,,,,
,pre-entry experience,,,,,,,,,,,
,product portfolio,,,,,,,,,,,
,facilitation,,,,,,,,,,,
,healthcare,,,,,,,,,,,
,organisational support mechanism,,,,,,,,,,,
,public hospital,,,,,,,,,,,
,firm-user collaboration,,,,,,,,,,,
,innovation management,,,,,,,,,,,
,innovation strategy,,,,,,,,,,,
,review,,,,,,,,,,,
,open innovation platform,,,,,,,,,,,
,spillover effect,,,,,,,,,,,
,user interaction,,,,,,,,,,,
