maroon,magenta,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,lime,silver,navy,teal,olive
3d community,diffusion,user innovation,digital remixing,open innovation,lead user,behavioral innovation,case study,china and the west,chinese high technology industry,clinician,handicraft,community innovation,construal level theory,crowdfunding,customer-active paradigm,high-technology,online user innovation community
3d printing,adoption,adopters’ creative thinking,motivation,creativity,brand community,feminist economic,continuous interaction,comparative case,industry characteristic,healthcare,product development,consumer innovation,mobile data service,crowdfunding platform,literature review,patent,organizational information processing theory
collaboration,new product,counter-learning communication,online community,embedded lead user,willingness to share,household sector innovation,fan innovation,knowledge sharing,sources of tpp innovation,innovation policy,distributed innovation,daily practice,potential and actual user innovator,crowdsourcing,user toolkits for innovation,semiconductor,text clustering
ideal type,opinion leadership,mass market adoption,absorptive capacity,idea quality,combinatory search,innovation diffusion,social presence,open source software project,,makerspace,user generated content (ugc),innovation behavior,user innovation theory,entrepreneurship,,technology management,user idea
user entrepreneurship,biography of artifact,agent-based social simulation,organizational adoption,internal lead user,implicit referral,technique innovation,,,,do-it-yourself,interaction,russium,user service innovation,latent dirichlet allocation,,innovation measurement,
end user entrepreneur,bricolage,community,sources of innovation,digital health,inexact referral,,,,,enabling technology,network,,,topic modelling,,sectoral system,
entrepreneurial consumer,configuration,articulation,user innovation community,digital transformation,intermediate referral,,,,,product innovation,open source software,,,user community,,semiconductor industry,
entrepreneurship proces,innofusion,domestication,co-creation,e-healthcare,network search,,,,,social innovation,r&amp;d efficiency,,,user entrepreneur,,,
ownership,innovation,script,customization toolkit,telemedicine,pyramiding,,,,,facilitation,research quotient,,,human capital,,,
platform,peer production,use knowledge,knowledge,user-centered design,rare research subject,,,,,organisational support mechanism,,,,self-determination theory,,,
second life,user practice,creative consumer,leading edge statu,elu,cooperation,,,,,public hospital,,,,social capital,,,
virtual world,complementarity,living lab,personalization,employee participation,front end,,,,,,,,,evolutionary approach,,,
,innovation ecosystem,radical innovation,social networking service,sustainability innovation,user-manufacturer interaction,,,,,,,,,spinout,,,
,smart home,role theory,theory,sustainable development,knowledge structure,,,,,,,,,strategy and firm performance,,,
,system of use,customercentered innovation,netnography,end-user,online user innovation,,,,,,,,,knowledge-based view,,,
,corporate venture capital,lead-user research,social medium,policy,supernetwork,,,,,,,,,patents and intellectual property right,,,
,new product development,developing country,flow,policymaker,lead user method,,,,,,,,,technology and innovation management,,,
,technology entrepreneurship,mobile banking service,web 2.0,sustainable innovation,lead user workshop,,,,,,,,,reasoned action,,,
,customer integration,technology diffusion,innovation rarenes,external knowledge,online brand community,,,,,,,,,user innovator,,,
,learning strategy,employee user,user innovation evaluation,innovation performance,open innovation accelerator,,,,,,,,,,,,
,service ecosystem,ethnography,,interaction method,,,,,,,,,,,,,
,sustainability,hiding practice,,user involvement,,,,,,,,,,,,,
,innovation diffusion proces,military,,improvisation,,,,,,,,,,,,,
,source of innovation,polouse,,knowledge acquisition,,,,,,,,,,,,,
,role of user,financial software innovation,,knowledge utilization,,,,,,,,,,,,,
,,impulse response function (irf) analysi,,user generated content,,,,,,,,,,,,,
,,knowledge sourcing,,sticky information,,,,,,,,,,,,,
,,vector autoregressive (var) model,,,,,,,,,,,,,,,
,,firm-user collaboration,,,,,,,,,,,,,,,
,,innovation management,,,,,,,,,,,,,,,
,,innovation strategy,,,,,,,,,,,,,,,
,,review,,,,,,,,,,,,,,,
,,front loading,,,,,,,,,,,,,,,
,,open source,,,,,,,,,,,,,,,
,,problem solving,,,,,,,,,,,,,,,
,,software development,,,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,,,
,,life science,,,,,,,,,,,,,,,
,,post-adoptive behavior,,,,,,,,,,,,,,,
,,research solution,,,,,,,,,,,,,,,
