maroon,teal,gold,orange,green,red,yellow,blue
brand value,user innovation,commercial diffusion,community,complementarity,consumer innovation,heterogeneous market,intrinsic motivation
innovation community,collaborative innovation,general value,dominant design,division of innovative labor,diffusion,local information,open source software
product diffusion,modularity,market failure,industry evolution,externality,household sector innovation,mass customization,user support
user-generated brand,open innovation,peer-to-peer diffusion,real option,social welfare,measurement,specialization in problem solving,virtual community
,efficiency measurement,,,user innovation paradigm,need-solution pair,sticky information,product development
,industry development,,,user-producer interaction,personality,task partitioning,toolkit
,free revealing,,,,problem-solving,,need heterogeneity
,innovation diffusion,,,,product solution,,
,innovation measurement,,,,research and development,,
,innovation transfer,,,,free innovation,,
,service development,,,,,,
,service innovation,,,,,,
