maroon,cyan,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,teal
3d printing,adoption,age,lead user,innovation management,new product development,anticipatory justice,appropriability regime,bootlegging,case study,collective invention,complementarity,re-estimation
additive manufacturing,consumer innovation,determinant,agile project management,crowdsourcing,co-creation,fairness expectation,disruptive innovation,creative deviance,commercialization of user innovation,commons-based peer production,division of innovative labor,telephone vs. personal interview
localization of manufacturing,diffusion,product knowledge,agile/stage-gate hybrid,collaboration,customer integration,open innovation,environmental turbulence,innovation diffusion,driver,comparative analysi,externality,underestimation
market structure,free innovation,silver market,scrum,dynamic,empowerment,participation in firm innovation,functional novelty,open-source,dynamic analysi,distributed innovation,social welfare,user innovation frequency
prosumer,market failure,technical expertise,stage-gate proces,entrepreneurship,idea generation,benefit,radical innovation,underground innovation,impediment,free revealing of information,user innovation paradigm,
user innovation,commercial diffusion,use experience,boundary spanner,open source software,market performance,community-based innovation,service innovation,diffusion failure,user community,innovation model,user-producer interaction,
biase,general value,property rights theory,identification,organization,online community,consistency,service lead user,effort to sell,user entrepreneurship,open source,inefficiency,
decision-maker,peer-to-peer diffusion,separation of ownership and control,innovation,organizational aspect,user design,contingency factor,user integration,eudaimonic motivation,vertical diversification,user innovation network,product diversity,
sources of innovation,household sector innovation,user innovation barrier,job satisfaction,research and development management,user-generated product,cost,service development,free revealing,professionalism,,,
theory practice gap,measurement,,consumer innovator,technology management,virtual customer integration,innovation effect,,identity perspective,social network,,,
brand value,need-solution pair,,computer game,user-generated content,configuration,manufacturer strategy,,makerspace,,,,
innovation community,personality,,marketplace,virtual group,mass customisation,marketing effect,,nurse innovation,,,,
product diffusion,problem-solving,,pricing,intrinsic motivation,personalisation,collaborative innovation,,finland,,,,
user-generated brand,product solution,,customer,user support,toolkit,modularity,,firm-level,,,,
community,research and development,,efficiency,virtual community,user co-design,organization theory,,innovation transfer,,,,
dominant design,knowledge transfer,,external knowledge,,management tool,strategy,,survey,,,,
industry evolution,product development,,pyramiding,,new service development,,,innovation measurement,,,,
real option,small firm,,screening,,user-driven innovation,,,,,,,
complementary asset,do-it-yourself,,search,,need heterogeneity,,,,,,,
intellectual property,prosumption,,innovation in consumer market,,,,,,,,,
machinima,household sector,,innovation proces,,,,,,,,,
market entry,information processing,,,,,,,,,,,
user entrepreneur,knowledge diversity,,,,,,,,,,,
consumer behavimy,"shared mental models jel: l20, l67, o30, o31",,,,,,,,,,,
marketing research,team creativity,,,,,,,,,,,
user characteristic,heterogeneous market,,,,,,,,,,,
efficiency measurement,local information,,,,,,,,,,,
industry development,mass customization,,,,,,,,,,,
embedded lead user,specialization in problem solving,,,,,,,,,,,
market information processing,sticky information,,,,,,,,,,,
organizational behavior,task partitioning,,,,,,,,,,,
organizational boundary,,,,,,,,,,,,
sticky knowledge,,,,,,,,,,,,
innovation contest,,,,,,,,,,,,
private-collective innovation,,,,,,,,,,,,
reward,,,,,,,,,,,,
innovative work behavior,,,,,,,,,,,,
job autonomy,,,,,,,,,,,,
self-efficacy,,,,,,,,,,,,
work process-related lead usernes,,,,,,,,,,,,
