maroon,teal,gold,green,yellow,red,blue,purple,pink,brown,cyan,magenta,olive,silver,indigo,navy,orange,lime
3d community,diffusion,user innovation,digital remixing,lead user,behavioral innovation,case study,china and the west,chinese high technology industry,clinician,co-creation,community innovation,construal level theory,creativity,crowdfunding,customer-active paradigm,high-technology,online user innovation community
3d printing,adoption,adopters’ creative thinking,motivation,innovation,feminist economic,continuous interaction,comparative case,industry characteristic,healthcare,customization toolkit,consumer innovation,mobile data service,embedded lead user,crowdsourcing,literature review,patent,organizational information processing theory
collaboration,new product,counter-learning communication,online community,brand community,household sector innovation,fan innovation,knowledge sharing,sources of tpp innovation,innovation policy,handicraft,daily practice,potential and actual user innovator,idea quality,entrepreneurship,user toolkits for innovation,semiconductor,text clustering
ideal type,opinion leadership,mass market adoption,absorptive capacity,willingness to share,innovation diffusion,social presence,open source software project,,makerspace,knowledge,innovation behavior,user innovation theory,internal lead user,latent dirichlet allocation,,technology management,user idea
user entrepreneurship,biography of artifact,agent-based social simulation,open innovation,combinatory search,technique innovation,,,,do-it-yourself,leading edge statu,russium,user service innovation,elu,topic modelling,,innovation measurement,
crowdfunding platform,bricolage,community,organizational adoption,implicit referral,,,,,enabling technology,personalization,,,employee participation,user community,,sectoral system,
human capital,configuration,articulation,sources of innovation,inexact referral,,,,,product innovation,product development,,,sustainability innovation,user entrepreneur,,semiconductor industry,
self-determination theory,innofusion,domestication,user innovation community,intermediate referral,,,,,social innovation,social networking service,,,sustainable development,netnography,,,
social capital,peer production,script,biase,network search,,,,,facilitation,theory,,,,social medium,,,
end user entrepreneur,user practice,use knowledge,decision-maker,pyramiding,,,,,organisational support mechanism,distributed innovation,,,,evolutionary approach,,,
entrepreneurial consumer,complementarity,consumer behavimy,theory practice gap,rare research subject,,,,,public hospital,user generated content (ugc),,,,spinout,,,
entrepreneurship proce,innovation ecosystem,marketing research,corporate venture capital,computer game,,,,,,interaction,,,,strategy and firm performance,,,
ownership,smart home,user characteristic,new product development,consumer innovator,,,,,,network,,,,knowledge-based view,,,
platform,system of use,creative consumer,technology entrepreneurship,marketplace,,,,,,open source software,,,,patents and intellectual property right,,,
second life,service ecosystem,living lab,customer integration,pricing,,,,,,r&amp;d efficiency,,,,technology and innovation management,,,
virtual world,sustainability,radical innovation,learning strategy,cooperation,,,,,,research quotient,,,,reasoned action,,,
,innovation diffusion proce,role theory,digital health,front end,,,,,,,,,,user innovator,,,
,source of innovation,customercentered innovation,digital transformation,user-manufacturer interaction,,,,,,,,,,,,,
,,lead-user research,e-healthcare,customer,,,,,,,,,,,,,
,,developing country,telemedicine,efficiency,,,,,,,,,,,,,
,,mobile banking service,user-centered design,external knowledge,,,,,,,,,,,,,
,,technology diffusion,end-user,identification,,,,,,,,,,,,,
,,employee user,policy,screening,,,,,,,,,,,,,
,,ethnography,policymaker,search,,,,,,,,,,,,,
,,hiding practice,sustainable innovation,innovation performance,,,,,,,,,,,,,
,,military,flow,interaction method,,,,,,,,,,,,,
,,polouse,web 2.0,user involvement,,,,,,,,,,,,,
,,financial software innovation,improvisation,innovation in consumer market,,,,,,,,,,,,,
,,impulse response function (irf) analysi,knowledge acquisition,innovation proce,,,,,,,,,,,,,
,,knowledge sourcing,knowledge utilization,knowledge structure,,,,,,,,,,,,,
,,vector autoregressive (var) model,user generated content,online user innovation,,,,,,,,,,,,,
,,firm-user collaboration,innovation rarene,supernetwork,,,,,,,,,,,,,
,,innovation management,user innovation evaluation,lead user method,,,,,,,,,,,,,
,,innovation strategy,sticky information,lead user workshop,,,,,,,,,,,,,
,,review,local information,online brand community,,,,,,,,,,,,,
,,front loading,role of user,open innovation accelerator,,,,,,,,,,,,,
,,open source,,,,,,,,,,,,,,,
,,problem solving,,,,,,,,,,,,,,,
,,software development,,,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,,,
,,life science,,,,,,,,,,,,,,,
,,post-adoptive behavior,,,,,,,,,,,,,,,
,,research solution,,,,,,,,,,,,,,,
