maroon,cyan,gold,indigo,green,teal,red,blue,purple,pink,magenta,lime,olive,brown,orange,yellow
3d community,diffusion,user innovation,digital remixing,open innovation,acquisition mechanism,adoption,case study,china and the west,chinese high technology industry,creativity,customer-active paradigm,employee user,firm innovation,high-technology,integrated model
3d printing,biography of artifact,agent-based social simulation,motivation,diffusion of innovation,crowdsourcing,lead user,company,comparative case,industry characteristic,embedded lead user,literature review,ethnography,industrial robot,patent,super-network
collaboration,bricolage,community,online community,innovation toolkit,idea competition,new product,comparative study,knowledge sharing,sources of tpp innovation,idea quality,user toolkits for innovation,hiding practice,mediating effect,semiconductor,user innovation knowledge
ideal type,configuration,articulation,absorptive capacity,lag-user,innovation contest,opinion leadership,continuous interaction,open source software project,,internal lead user,,military,sustainability-oriented innovation,technology management,
user entrepreneurship,innofusion,domestication,organizational adoption,laggard,innovation tournament,brand community,fan innovation,,,elu,,polouse,unconventional source of innovation,innovation measurement,
digital technology,innovation,script,sources of innovation,new product development method,intelligence,willingness to share,innovation management,,,employee participation,,,,sectoral system,
odds-ratio,peer production,use knowledge,user innovation community,resistance to innovation,public relation,combinatory search,innovation policy,,,sustainability innovation,,,,semiconductor industry,
social venture,user practice,behavioral innovation,co-creation,simplicity,crowdfunding,implicit referral,marketing research,,,sustainable development,,,,,
end user entrepreneur,clinician,feminist economic,customization toolkit,digital health,crowdfunding platform,inexact referral,participatory design,,,,,,,,
entrepreneurial consumer,healthcare,household sector innovation,knowledge,digital transformation,entrepreneurship,intermediate referral,social presence,,,,,,,,
entrepreneurship proces,makerspace,innovation diffusion,leading edge statu,e-healthcare,user community,network search,user centred design,,,,,,,,
ownership,complementarity,technique innovation,personalization,telemedicine,user entrepreneur,pyramiding,user driven innovation,,,,,,,,
platform,innovation ecosystem,handicraft,product design,user-centered design,evolutionary approach,rare research subject,user involvement,,,,,,,,
second life,smart home,product development,social networking service,external knowledge,spinout,cooperation,do-it-yourself,,,,,,,,
virtual world,system of use,community innovation,theory,innovation performance,strategy and firm performance,front end,enabling technology,,,,,,,,
,corporate venture capital,consumer innovation,user design,interaction method,knowledge-based view,user-manufacturer interaction,product innovation,,,,,,,,
,new product development,daily practice,corporate entrepreneurship,improvisation,patents and intellectual property right,innovation diffusion proces,social innovation,,,,,,,,
,technology entrepreneurship,innovation behavior,corporate venture,knowledge acquisition,technology and innovation management,source of innovation,firm-user collaboration,,,,,,,,
,customer integration,russium,fuzzy front end,knowledge utilization,reasoned action,lead user method,innovation strategy,,,,,,,,
,learning strategy,creative consumer,lead user theory,user generated content,user innovator,lead user workshop,review,,,,,,,,
,service ecosystem,living lab,netnography,market entry strategy,,online brand community,,,,,,,,,
,sustainability,radical innovation,social medium,user-designed product,,open innovation accelerator,,,,,,,,,
,facilitation,role theory,flow,,,sticky information,,,,,,,,,
,organisational support mechanism,customercentered innovation,web 2.0,,,,,,,,,,,,
,public hospital,lead-user research,,,,,,,,,,,,,
,role of user,developing country,,,,,,,,,,,,,
,,mobile banking service,,,,,,,,,,,,,
,,technology diffusion,,,,,,,,,,,,,
,,financial software innovation,,,,,,,,,,,,,
,,impulse response function (irf) analysi,,,,,,,,,,,,,
,,knowledge sourcing,,,,,,,,,,,,,
,,vector autoregressive (var) model,,,,,,,,,,,,,
,,front loading,,,,,,,,,,,,,
,,open source,,,,,,,,,,,,,
,,problem solving,,,,,,,,,,,,,
,,software development,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,
,,interaction,,,,,,,,,,,,,
,,network,,,,,,,,,,,,,
,,moderation,,,,,,,,,,,,,
,,organisational context,,,,,,,,,,,,,
,,radical innovation performance,,,,,,,,,,,,,
