maroon,teal,orange,green,gold
adoption,diffusion,user innovation,appropriability regime,diffusion failure
consumer innovation,knowledge transfer,do-it-yourself,disruptive innovation,effort to sell
free innovation,product development,household sector innovation,environmental turbulence,eudaimonic motivation
market failure,professionalism,prosumption,functional novelty,free revealing
commercial diffusion,small firm,innovative work behavior,radical innovation,identity perspective
general value,social network,job autonomy,,makerspace
peer-to-peer diffusion,user community,self-efficacy,,nurse innovation
measurement,,work process-related lead usernes,,innovation diffusion
research and development,,,,innovation measurement
,,,,innovation transfer
