maroon,teal,indigo,orange,green,yellow,red,blue,purple,pink,brown,gold
3d printing,user innovation,adoption,age,lead user,agile project management,innovation management,anticipatory justice,behavimy,case study,complementarity,re-estimation
additive manufacturing,biase,consumer innovation,determinant,boundary spanner,agile/stage-gate hybrid,crowdsourcing,fairness expectation,founder imprinting,commercialization of user innovation,division of innovative labor,telephone vs. personal interview
localization of manufacturing,decision-maker,diffusion,product knowledge,identification,new product development,collaboration,open innovation,innovation performance,driver,externality,underestimation
market structure,sources of innovation,free innovation,silver market,innovation,scrum,dynamic,participation in firm innovation,motivation,dynamic analysi,social welfare,user innovation frequency
prosumer,theory practice gap,market failure,technical expertise,job satisfaction,stage-gate proces,entrepreneurship,benefit,owner–manager,impediment,user innovation paradigm,
,brand value,commercial diffusion,use experience,consumer innovator,automotive industry,open source software,community-based innovation,user innovation origin,user community,user-producer interaction,
,innovation community,general value,property rights theory,computer game,embedded toolkit,organization,consistency,user-founded firm,user entrepreneurship,inefficiency,
,product diffusion,peer-to-peer diffusion,separation of ownership and control,marketplace,postponement,organizational aspect,contingency factor,,vertical diversification,product diversity,
,user-generated brand,household sector innovation,user innovation barrier,pricing,co-creation,research and development management,cost,,consumer behavimy,,
,community,measurement,,customer,customer integration,technology management,innovation effect,,marketing research,,
,dominant design,need-solution pair,,efficiency,empowerment,user-generated content,manufacturer strategy,,user characteristic,,
,industry evolution,official statistic,,external knowledge,idea generation,virtual group,marketing effect,,,,
,real option,personality,,pyramiding,market performance,collective invention,collaborative innovation,,,,
,complementary asset,problem-solving,,screening,online community,commons-based peer production,modularity,,,,
,intellectual property,product solution,,search,user design,comparative analysi,organization theory,,,,
,machinima,public sector innovation,,digital economy,user-generated product,distributed innovation,strategy,,,,
,market entry,research and development,,economic sector,virtual customer integration,free revealing of information,,,,,
,user entrepreneur,knowledge transfer,,education,configuration,innovation model,,,,,
,efficiency measurement,product development,,general definition of innovation,mass customisation,open source,,,,,
,industry development,small firm,,skill,personalisation,user innovation network,,,,,
,embedded lead user,do-it-yourself,,training,toolkit,intrinsic motivation,,,,,
,market information processing,prosumption,,health care technology,user co-design,user support,,,,,
,organizational behavior,household sector,,innovation network,management tool,virtual community,,,,,
,organizational boundary,information processing,,radical innovation,new service development,,,,,,
,sticky knowledge,knowledge diversity,,innovation in consumer market,user-driven innovation,,,,,,
,finland,play,,innovation proces,need heterogeneity,,,,,,
,firm-level,problem solving,,service innovation,,,,,,,
,innovation diffusion,"shared mental models jel: l20, l67, o30, o31",,service lead user,,,,,,,
,innovation transfer,social learning,,user integration,,,,,,,
,survey,team creativity,,service development,,,,,,,
,free revealing,,,,,,,,,,
,innovation measurement,,,,,,,,,,
,heterogeneous market,,,,,,,,,,
,local information,,,,,,,,,,
,mass customization,,,,,,,,,,
,specialization in problem solving,,,,,,,,,,
,sticky information,,,,,,,,,,
,task partitioning,,,,,,,,,,
,innovation contest,,,,,,,,,,
,private-collective innovation,,,,,,,,,,
,reward,,,,,,,,,,
,locus of innovation,,,,,,,,,,
