maroon,teal,gold,silver,green,yellow,blue,purple,pink,brown,cyan,magenta,lime,navy,black,crimson,coral,darkblue,red,indigo,olive,grey,darkgreen,orange
3d community,collaboration,user innovation,co-creation,digital remixing,open innovation,lead user,agent-based social simulation,altruism,attention,case study,china and the west,chinese high technology industry,cognition,consumer innovation,idea competition,configurational movement,construal level theory,creative maker,degree centrality,differential game,firm innovation,framing,integrated model
3d printing,diffusion,adopters’ creative thinking,online community,motivation,categorisation of open innovation,new product,community,chinese large-scale survey,ideation,community collaborative action,comparative case,industry characteristic,demand,community innovation,new product development,energy transition,mobile data service,economic incentive,innovation network,firm-sponsored online user innovation community,industrial robot,grand challenge,super-network
ideal type,biography of artifact,counter-learning communication,absorptive capacity,adoption,conceptualisation of open innovation,opinion leadership,boundary management,household sector user innovation,opennes,company,knowledge sharing,sources of tpp innovation,entrepreneurship,daily practice,r&amp;d,generalization proces,potential and actual user innovator,entrepreneurial maker,k-core embeddednes,heterogeneous product user,mediating effect,moral emotion,user innovation knowledge
user entrepreneurship,bricolage,mass market adoption,organizational adoption,compatibility,future of open innovation,brand community,dilemma,intrinsic self-reward,social medium,comparative study,open source software project,,perspective taking,innovation behavior,software development,heat pump,user innovation theory,product popularity,user innovation contribution,incentive reward,sustainability-oriented innovation,responsible innovation,
ambidexterity,configuration,articulation,sources of innovation,toolkits for innovation,living lab,willingness to share,firm-community collaboration,partnership,success bia,continuous interaction,distributed innovation,,crowdfunding,russium,toolkit,technology diffusion,user service innovation,product productivity,,product improvement,unconventional source of innovation,serendipity,
digital fabrication,innofusion,domestication,user innovation community,application market,living laboratory,combinatory search,paradox,,suggestion,fan innovation,performance of oss project,,latent dirichlet allocation,diffusion of innovation,communication,developing country,,social incentive,,,,open social innovation,
hackathon,innovation,script,open source software,business model,physically assistive,implicit referral,systems theory,,business model innovation,firm-user virtual alliance,user generated content (ugc),,topic modelling,online innovation community,web 2.0,mobile banking service,,,,,,,
hybridity,peer production,use knowledge,and phrases: online user innovation community,release strategy,service,inexact referral,tension,,dynamic capability,innovation management,,,user entrepreneur,renewable energy,corporate venture capital,,,,,,,,
institutional logic,user practice,behavioral innovation,crowdsourcing,smartphone operating system,service robot,intermediate referral,,,supply chain business model,innovation policy,,,equity crowdfunding,innovation toolkit,technology entrepreneurship,,,,,,,,
maker movement,clinician,feminist economic,employee innovativenes,complementarity,social robot,network search,,,tea supply chain,marketing research,,,evolutionary approach,lag-user,customer integration,,,,,,,,
mass customisation,healthcare,household sector innovation,online ideation,open source,socially assistive,pyramiding,,,user-driven innovation,participatory design,,,randomized field experiment,laggard,learning strategy,,,,,,,,
open source community,makerspace,innovation diffusion,customization toolkit,value capture,challenge,rare research subject,,,co-innovation,product innovation,,,spinout,new product development method,empirical study,,,,,,,,
platform,user,technique innovation,handicraft,value creation,characteristic,cooperation,,,domain-based review,social presence,,,statistical discrimination,resistance to innovation,financial service,,,,,,,,
crowdfunding platform,commercial diffusion,canon,leading edge statu,collective intelligence,literature review,front end,,,meta-systematic review,user centred design,,,strategy and firm performance,simplicity,mass customization,,,,,,,,
human capital,network,critical management study,personalization,human powered boat,sustainability,user-manufacturer interaction,,,npd,user driven innovation,,,knowledge-based view,small-scale energy technology,flow,,,,,,,,
self-determination theory,online,critical performativity,product design,modularity,consumer policy,creativity,,,online collaboration platform,user involvement,,,patents and intellectual property right,user-innovation,front loading,,,,,,,,
social capital,competitivenes,critique,product development,open manufacturing,moab model,embedded lead user,,,pm,value co-creation,,,technology and innovation management,,problem solving,,,,,,,,
digital technology,development,subversive functionalism,social networking service,product architecture,sustainable innovation,idea quality,,,user engagement,disruptive technological change,,,,,video game industry,,,,,,,,
odds-ratio,empirical analysi,knowledge,user design,user community,customer-active paradigm,internal lead user,,,,do-it-yourself,,,,,role of user,,,,,,,,
social venture,free,theory,cognitive overload,innovation ecosystem,user toolkits for innovation,elu,,,,enabling technology,,,,,strategy,,,,,,,,
end user entrepreneur,integration,cocreation,message persuasion,smart home,digital health,employee participation,,,,social innovation,,,,,strategy evolution,,,,,,,,
entrepreneurial consumer,open,codestruction,user idea,system of use,digital transformation,sustainability innovation,,,,external knowledge,,,,,,,,,,,,,
entrepreneurship proces,revealing,creative consumer,consumer preference,netnography,e-healthcare,sustainable development,,,,innovation performance,,,,,,,,,,,,,
ownership,sustainable,fashion,corporate association,service ecosystem,telemedicine,meta-analysi,,,,interaction method,,,,,,,,,,,,,
second life,facilitation,luxury brand,social identity,innovating with it,user-centered design,moderating effect,,,,firm-user collaboration,,,,,,,,,,,,,
virtual world,organisational support mechanism,social comparison,user-generated product,innovative behavior,end-user,innovation diffusion proces,,,,innovation strategy,,,,,,,,,,,,,
,public hospital,video game,economics of i,innovative it use,policy,source of innovation,,,,review,,,,,,,,,,,,,
,intermediary,corporate entrepreneurship,it policy and management,slack resource,policymaker,knowledge structure,,,,,,,,,,,,,,,,,
,post-adoptive behavior,corporate venture,productivity of it,innovation proces,improvisation,online user innovation,,,,,,,,,,,,,,,,,
,social learning,fuzzy front end,technology strategy,key user,knowledge acquisition,supernetwork,,,,,,,,,,,,,,,,,
,software engineer,lead user theory,innovation rarenes,modularisation,knowledge utilization,lead user method,,,,,,,,,,,,,,,,,
,technology artifact,covid-19 innovation,user innovation evaluation,project management,user generated content,lead user workshop,,,,,,,,,,,,,,,,,
,life science,distributed leadership,interaction,software,productivity,online brand community,,,,,,,,,,,,,,,,,
,research solution,distributed leadership as paradox,online user innovation community,reasoned action,service innovation,open innovation accelerator,,,,,,,,,,,,,,,,,
,,radical innovation,organizational information processing theory,user innovator,user orientation,sticky information,,,,,,,,,,,,,,,,,
,,role theory,text clustering,,innovation contest,,,,,,,,,,,,,,,,,,
,,creativity and ideation,r&amp;d efficiency,,open evaluation,,,,,,,,,,,,,,,,,,
,,design cognition,research quotient,,market entry strategy,,,,,,,,,,,,,,,,,,
,,exaptation,,,user-designed product,,,,,,,,,,,,,,,,,,
,,problem-solving,,,,,,,,,,,,,,,,,,,,,
,,customercentered innovation,,,,,,,,,,,,,,,,,,,,,
,,lead-user research,,,,,,,,,,,,,,,,,,,,,
,,design autonomy,,,,,,,,,,,,,,,,,,,,,
,,lead usernes,,,,,,,,,,,,,,,,,,,,,
,,mobile phone platform,,,,,,,,,,,,,,,,,,,,,
,,three-way interaction,,,,,,,,,,,,,,,,,,,,,
,,toolkit support,,,,,,,,,,,,,,,,,,,,,
,,direct and indirect effect,,,,,,,,,,,,,,,,,,,,,
,,education,,,,,,,,,,,,,,,,,,,,,
,,gender,,,,,,,,,,,,,,,,,,,,,
,,personality,,,,,,,,,,,,,,,,,,,,,
,,survey datum,,,,,,,,,,,,,,,,,,,,,
,,discourse,,,,,,,,,,,,,,,,,,,,,
,,open source software development,,,,,,,,,,,,,,,,,,,,,
,,textuality,,,,,,,,,,,,,,,,,,,,,
,,dominant design,,,,,,,,,,,,,,,,,,,,,
,,opinion dynamic,,,,,,,,,,,,,,,,,,,,,
,,user interaction,,,,,,,,,,,,,,,,,,,,,
,,user-driven,,,,,,,,,,,,,,,,,,,,,
,,employee user,,,,,,,,,,,,,,,,,,,,,
,,ethnography,,,,,,,,,,,,,,,,,,,,,
,,hiding practice,,,,,,,,,,,,,,,,,,,,,
,,military,,,,,,,,,,,,,,,,,,,,,
,,polouse,,,,,,,,,,,,,,,,,,,,,
,,entry strategy,,,,,,,,,,,,,,,,,,,,,
,,nascent industry,,,,,,,,,,,,,,,,,,,,,
,,pre-entry experience,,,,,,,,,,,,,,,,,,,,,
,,product portfolio,,,,,,,,,,,,,,,,,,,,,
,,financial software innovation,,,,,,,,,,,,,,,,,,,,,
,,impulse response function (irf) analysi,,,,,,,,,,,,,,,,,,,,,
,,knowledge sourcing,,,,,,,,,,,,,,,,,,,,,
,,vector autoregressive (var) model,,,,,,,,,,,,,,,,,,,,,
,,high-technology,,,,,,,,,,,,,,,,,,,,,
,,patent,,,,,,,,,,,,,,,,,,,,,
,,semiconductor,,,,,,,,,,,,,,,,,,,,,
,,technology management,,,,,,,,,,,,,,,,,,,,,
,,idea adoption,,,,,,,,,,,,,,,,,,,,,
,,idea response,,,,,,,,,,,,,,,,,,,,,
,,linguistic style,,,,,,,,,,,,,,,,,,,,,
,,open innovation community,,,,,,,,,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,,,,,,,,,
,,innovation measurement,,,,,,,,,,,,,,,,,,,,,
,,sectoral system,,,,,,,,,,,,,,,,,,,,,
,,semiconductor industry,,,,,,,,,,,,,,,,,,,,,
,,sme,,,,,,,,,,,,,,,,,,,,,
